Time;PlayerName;P1;P2;P3;P4
6.05;MPIB3;0;0.003423997;0;0.001253858
6.05;MPIB1;0;0;0.006751543;0
6.1;MPIB2;0;0;0;0.005979938
6.1;MPIB4;0.0003858025;0.003375772;0.002025463;0
6.1;MPIB3;0;0.003038194;0;0.001398534
6.1;MPIB1;0;0;0.006751543;0
6.15;MPIB2;0;0;0;0.005738812
6.15;MPIB4;0.0005787037;0.00308642;0.002555941;0
6.15;MPIB3;0;0.003665123;0;0.001157407
6.15;MPIB1;0;0;0.006847994;0
6.2;MPIB2;0;0;0;0.005401235
6.2;MPIB4;0.0004340278;0.002652392;0.00236304;0
6.2;MPIB3;0;0.003038194;0;0.001494985
6.2;MPIB1;0;0;0.006896219;0
6.25;MPIB2;0;0;0;0.005304784
6.25;MPIB4;0.0003858025;0.002797068;0.002845293;0
6.25;MPIB3;0;0.003616898;0;0.001157407
6.25;MPIB1;0;0;0.00699267;0
6.3;MPIB2;0;0;0;0.005256559
6.3;MPIB4;0.0003858025;0.002700617;0.003375772;0
6.3;MPIB3;0;0.003472222;0;0.001446759
6.3;MPIB1;0;0;0.007137346;0
6.35;MPIB2;0;0;0;0.005160108
6.35;MPIB4;0.0004822531;0.002989969;0.003038194;0
6.35;MPIB3;0;0.003472222;0;0.001446759
6.35;MPIB1;0;0;0.007282021;0
6.4;MPIB2;0;0;0;0.005160108
6.4;MPIB4;0.0005787037;0.003134645;0.003038194;0
6.4;MPIB3;0;0.003472222;0;0.001446759
6.4;MPIB1;0;0;0.007282021;0
6.45;MPIB2;0;0;0;0.005160108
6.45;MPIB4;0.0005787037;0.003375772;0.003616898;0
6.45;MPIB3;0;0.003472222;0;0.001446759
6.45;MPIB1;0;0;0.007282021;0
6.5;MPIB2;0;0;0;0.005160108
6.5;MPIB4;0.0006751543;0.003423997;0.003761574;0
6.5;MPIB3;0;0.003472222;0;0.001446759
6.5;MPIB1;0;0;0.007282021;0
6.55;MPIB2;0;0;0;0.005160108
6.55;MPIB4;0.0004822531;0.003375772;0.003520448;0
6.55;MPIB3;0;0.003472222;0;0.001446759
6.55;MPIB1;0;0;0.007282021;0
6.6;MPIB2;0;0;0;0.005208333
6.6;MPIB4;0.0006751543;0.003327546;0.003665123;0
6.6;MPIB3;0;0.003472222;0;0.001446759
6.6;MPIB1;0;0;0.007282021;0
6.65;MPIB2;0;0;0;0.005256559
6.65;MPIB4;0.0004822531;0.003279321;0.003761574;0
6.65;MPIB3;0;0.003472222;0;0.001398534
6.65;MPIB1;0;0;0.007282021;0
6.7;MPIB2;0;0;0;0.005304784
6.7;MPIB4;0.0007716049;0.003809799;0.003520448;0
6.7;MPIB3;0;0.003472222;0;0.001446759
6.7;MPIB1;0;0;0.007282021;0
6.75;MPIB2;0;0;0;0.005304784
6.75;MPIB4;0.0005787037;0.004002701;0.00390625;0
6.75;MPIB3;0;0.003472222;0;0.001446759
6.75;MPIB1;0;0;0.007282021;0
6.8;MPIB2;0;0;0;0.005304784
6.8;MPIB4;0.0004822531;0.004436729;0.004243827;0
6.8;MPIB3;0;0.003472222;0;0.001446759
6.8;MPIB1;0;0;0.007282021;0
6.85;MPIB2;0;0;0;0.005353009
6.85;MPIB4;0.000626929;0.004147376;0.004147376;0
6.85;MPIB3;0;0.003472222;0;0.001398534
6.85;MPIB1;0;0;0.007282021;0
6.9;MPIB2;0;0;0;0.005353009
6.9;MPIB4;0.000626929;0.004147376;0.004147376;0
6.9;MPIB3;0;0.003472222;0;0.001398534
6.9;MPIB1;0;0;0.007282021;0
6.95;MPIB2;0;0;0;0.005353009
6.95;MPIB4;0.0009645062;0.004243827;0.004340278;0
6.95;MPIB3;0;0.003472222;0;0.001398534
6.95;MPIB1;0;0;0.007282021;0
7;MPIB2;0;0;0;0.005304784
7;MPIB4;0.000626929;0.003713349;0.003568673;0
7;MPIB3;0;0.003472222;0;0.001350309
7;MPIB1;0;0;0.007282021;0
7.05;MPIB2;0;0;0;0.00544946
7.05;MPIB4;0.0005304784;0.003520448;0.003231096;0
7.05;MPIB3;0;0.003472222;0;0.001302083
7.05;MPIB1;0;0;0.007282021;0
7.1;MPIB2;0;0;0;0.005497685
7.1;MPIB4;0.0006751543;0.003713349;0.002797068;0
7.1;MPIB3;0;0.003472222;0;0.001350309
7.1;MPIB1;0;0;0.007282021;0
7.15;MPIB2;0;0;0;0.005497685
7.15;MPIB4;0.0002893519;0.003423997;0.002797068;0
7.15;MPIB3;0;0.003472222;0;0.001398534
7.15;MPIB1;0;0;0.003616898;0
7.2;MPIB2;0;0;0;0.00554591
7.2;MPIB4;0.0001446759;0.003375772;0.002893518;0
7.2;MPIB3;0;0.003472222;0;0.001398534
7.2;MPIB1;0;0;0.005594136;0
7.25;MPIB2;0;0;0;0.00554591
7.25;MPIB4;0.0002411265;0.003472222;0.002459491;0
7.25;MPIB3;0;0.003472222;0;0.001398534
7.25;MPIB1;0;0;0.00617284;0
7.3;MPIB2;0;0;0;0.00554591
7.3;MPIB4;0.0002893519;0.004195602;0.002459491;0
7.3;MPIB3;0;0.003472222;0;0.001398534
7.3;MPIB1;0;0;0.00699267;0
7.35;MPIB2;0;0;0;0.005594136
7.35;MPIB4;0.0001446759;0.003809799;0.002989969;0
7.35;MPIB3;0;0.003472222;0;0.001398534
7.35;MPIB1;0;0;0.007282021;0
7.4;MPIB2;0;0;0;0.00554591
7.4;MPIB4;0.0002411265;0.003809799;0.002700617;0
7.4;MPIB3;0;0.003472222;0;0.001302083
7.4;MPIB1;0;0;0.007282021;0
7.45;MPIB2;0;0;0;0.005642361
