,simulation_number,env_file,agent_type,n_agents,dist_weight,in_view_weight,gp_weight,any_social_weight,success_social_weight,lengthscale,signalvariance,init_seed,policy_seed,step,final,max_reward,min_reward,tot_reward,tot_pairwise_dist,n_foraged_blocks,min_distance_traveled_prop,max_distance_traveled_prop,mean_distance_traveled_prop
139,23,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,3213891623,200,False,7,7,7,0.0,14.0,0.2,0.2,0.2
140,23,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,3213891623,300,False,9,9,9,0.0,22.0,0.19666666666666666,0.19666666666666666,0.19666666666666666
141,23,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,3213891623,400,False,16,16,16,0.0,29.0,0.1925,0.1925,0.1925
142,23,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,3213891623,500,False,19,19,19,0.0,37.0,0.188,0.188,0.188
143,23,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,3213891623,599,False,21,21,21,0.0,44.0,0.18530884808013356,0.18530884808013356,0.18530884808013356
144,24,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2284404523,100,False,4,4,4,0.0,7.0,0.2,0.2,0.2
145,24,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2284404523,200,False,5,5,5,0.0,15.0,0.18,0.18,0.18
146,24,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2284404523,300,False,7,7,7,0.0,22.0,0.18333333333333332,0.18333333333333332,0.18333333333333332
147,24,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2284404523,400,False,10,10,10,0.0,29.0,0.18,0.18,0.18
148,24,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2284404523,500,False,14,14,14,0.0,37.0,0.18,0.18,0.18
149,24,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2284404523,599,False,15,15,15,0.0,44.0,0.18196994991652754,0.18196994991652754,0.18196994991652754
150,25,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2667419846,100,False,5,5,5,0.0,7.0,0.16,0.16,0.16
151,25,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2667419846,200,False,9,9,9,0.0,15.0,0.18,0.18,0.18
152,25,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2667419846,300,False,13,13,13,0.0,22.0,0.17666666666666667,0.17666666666666667,0.17666666666666667
153,25,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2667419846,400,False,15,15,15,0.0,30.0,0.175,0.175,0.175
154,25,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2667419846,500,False,16,16,16,0.0,37.0,0.182,0.182,0.182
155,25,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2667419846,599,False,19,19,19,0.0,45.0,0.17529215358931552,0.17529215358931552,0.17529215358931552
156,26,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,3191643291,100,False,2,2,2,0.0,7.0,0.23,0.23,0.23
